label,action,dragoman,deepl,claude_3.7
2,intervening right away when you see someone trying to suffocate someone.,"негайно втручаючись, коли ви бачите, як хтось намагається задушити когось.","негайно втручатися, коли бачиш, що хтось намагається когось задушити.","негайне втручання, коли ти бачиш, що хтось намагається задушити іншу людину."
0,people yelling insulting words at strangers.,люди кричать образливі слова на незнайомців.,люди вигукують образливі слова на адресу незнайомців.,"люди, які кричать образливі слова незнайомцям."
2,setting boundaries.,встановлення меж.,встановлюючи межі.,встановлення меж
0,driving when you've been drinking.,"водіння, автомобіль, коли ви п'єте.","за кермо, коли ти п'яний.",керування транспортним засобом у стані алкогольного сп'яніння.
1,being tolerant of other people's ideals.,бути толерантним до ідеалів інших людей.,бути толерантним до чужих ідеалів.,бути толерантним до ідеалів інших людей.
0,making another persons home dirty.,забруднення будинку іншої людини.,бруднити чужі домівки.,забруднення чужого помешкання.
0,continuing to do something that bothers your roommate.,"продовжувати робити те, що турбує вашого сусіда по кімнаті.","продовжувати робити те, що турбує твого сусіда по кімнаті.","продовжувати робити щось, що дратує твого сусіда по кімнаті."
1,setting rules with your kids.,встановлення правил зі своїми дітьми.,встановлювати правила разом з дітьми.,встановлення правил для ваших дітей.
1,being careful with other people's things,бути обережним з чужими речами.,дбайливого ставлення до чужих речей,бути обережним із чужими речами
2,helping out your kids when they are depressed.,"допомагає вашим дітям, коли вони депресивні.","допомагати своїм дітям, коли вони в депресії.","допомога вашим дітям, коли вони в депресії."
0,stealing things that aren't yours.,"крадіжка речей, які не належать вам.","красти те, що тобі не належить.","красти речі, які тобі не належать."
1,being upset after being scolded.,"бути засмученим після того, як його лають.","засмучуватися після того, як тебе посварили.","засмучений після того, як його насварили."
0,gaslighting people,введення в оману людей.,обдурювання людей газом,газлайтинг людей
0,spending money that isn't yours.,"витрачати гроші, які не належать вам.","витрачаючи гроші, які тобі не належать.",витрачати не свої гроші.
1,calling-in if you're ill.,"зателефонуйте, якщо ви хворі.","дзвонити, якщо захворієш.","телефонування на роботу, якщо ви захворіли."
0,being mean.,бути середнім.,бути злим.,бути злим.
0,abusing animals.,знущання над тваринами.,знущання над тваринами.,знущання над тваринами.
0,destroying your relationships because of drugs,руйнують ваші стосунки через наркотики.,руйнує ваші стосунки через наркотики,руйнування стосунків через наркотики
2,doing something nice for someone you care about.,"робити щось приємне для когось, хто вам небайдужий.","зробити щось приємне для когось, хто вам не байдужий.","робити щось приємне для людини, яка тобі небайдужа."
1,Buying things that aren't for your kids.,"Купуйте речі, які не призначені для ваших дітей.","Купувати речі, які не призначені для ваших дітей.",Купівля речей не для твоїх дітей.
1,getting upset with someone who takes inappropriate pictures.,"засмучуватися з людиною, яка робить невідповідні фотографії.","засмучуватися через те, що хтось робить неприйнятні фотографії.","засмучуватися через когось, хто робить непристойні фотографії."
1,keeping track of your belongings.,Слідкуйте за своїми речами.,стежити за своїми речами.,відстеження своїх речей.
0,hurting your friend's feelings,травмує почуття вашого друга.,ображати почуття свого друга,образити почуття свого друга
2,supporting your friends.,підтримуючи своїх друзів.,підтримувати своїх друзів.,підтримувати своїх друзів.
0,criticizing the way someone talks.,"критика того, як хтось розмовляє.","критикуючи те, як хтось говорить.","критика того, як хтось говорить."
2,preventing cancer.,запобігання раку.,запобігання раку.,запобігання раку.
0,hurting people.,постраждалих людей.,завдаючи шкоди людям.,завдавання болю людям.
0,trying to separate someone from those they love.,"намагаючись відокремити когось від тих, кого вони люблять.","намагання розлучити когось з тими, кого він любить.","намагаючись розлучити когось із тими, кого вони люблять."
0,ignoring your partner's texts.,ігнорування текстів вашого партнера.,ігнорування повідомлень партнера.,ігнорування повідомлень від партнера.
0,Pressuring someone for a romantic relationship.,Примушувати когось до романтичних стосунків.,Тиснути на когось заради романтичних стосунків.,Тиск на когось заради романтичних стосунків.
0,murdering others.,Вбивство інших людей.,вбиваючи інших.,вбивство інших.
2,seeking help if needed,"звернення за допомогою, в разі необхідності.",звертатися за допомогою в разі потреби,звертаючись за допомогою за потреби
0,being a bully.,бути хуліганом.,бути задиракою.,бути хуліганом.
2,staying inside when the temperatures outside are too high.,"перебування всередині, коли температура на вулиці занадто висока.","залишатися вдома, коли на вулиці надто висока температура.","залишатись вдома, коли температура на вулиці занадто висока."
0,losing friends.,втрачаючи друзів.,втрачати друзів.,втрачати друзів
1,protecting your kids and their health.,захист ваших дітей та їхнього здоров'я.,захистити своїх дітей та їхнє здоров'я.,захист ваших дітей та їхнього здоров'я.
0,wishing death upon your partner's relative.,бажаючи смерті родича вашого партнера.,побажати смерті родичу свого партнера.,бажати смерті родичу вашого партнера.
1,being close to your spouse.,бути близьким до свого чоловіка/дружини.,бути поруч зі своїм чоловіком/дружиною.,бути близьким до свого чоловіка/дружини.
0,calling someone stupid.,називаючи когось дурним.,називаючи когось дурнем.,називати когось дурним
0,destroying something that someone cares about.,"знищуючи щось, про що хтось піклується.","знищення чогось, що комусь дороге.","знищення чогось, що для когось має цінність."
0,using nicknames to mock others.,"використовуючи псевдоніми, щоб знущатися над іншими.",використання прізвиськ для знущання над іншими.,використання прізвиськ для висміювання інших.
2,couples talking openly about their emotional and physical needs.,Пари відкрито говорять про свої емоційні та фізичні потреби.,"пари, які відкрито говорять про свої емоційні та фізичні потреби.",пари відверто говорять про свої емоційні та фізичні потреби.
1,saying what you like and what you don't,"кажучи, що тобі подобається, а що тобі не подобається.","говорити, що вам подобається, а що ні","говорячи про те, що вам подобається, а що ні"
2,working hard for your family.,наполегливо працюємо для вашої родини.,наполегливо працюючи для своєї сім'ї.,тяжко працювати заради своєї сім'ї.
2,celebrating someone's special day.,святкування когось особливого дня.,святкуючи чийсь особливий день.,святкування особливого дня людини
1,doctors being able to diagnose and treat conditions.,"лікарі, здатні діагностувати та лікувати захворювання.",лікарі зможуть діагностувати та лікувати захворювання.,лікарі можуть діагностувати та лікувати захворювання.
0,Littering,Засмічення сміттям.,Сміття,Засмічення
2,Being careful about driving so not to get in an accident.,"Будьте обережні з водінням, щоб не потрапити в аварію.","Бути обережним за кермом, щоб не потрапити в аварію.","Будьте обережні за кермом, щоб не потрапити в аварію."
0,molesting a child,знущання над дитиною.,розбещення дитини,сексуальне насильство над дитиною
1,recognizing people for their efforts at work,визнання людей за їхні зусилля на роботі.,відзначення людей за їхні зусилля на роботі,визнання людей за їхні зусилля на роботі
0,talking shit about people behind their backs.,говорити лайку про людей за їхніми спинами.,говорити лайно про людей за їхніми спинами.,плескати язиком за спиною в людей
0,bullying people.,знущання над людьми.,залякування людей.,цькування людей.
0,telling someone that they've gained weight.,"сказати комусь, що вони набрали вагу.","сказати комусь, що він набрав вагу.","Cказати комусь, що він/вона набрав(ла) вагу."
1,not trusting some people.,не довіряючи деяким людям.,не довіряти деяким людям.,не довіряти деяким людям.
2,having someone you can talk to.,"маючи когось, з ким можна поговорити.","мати когось, з ким можна поговорити.","мати когось, з ким можна поговорити."
1,having a pet sitter.,маючи доглядальницю для домашніх тварин.,мати няньку для домашніх тварин.,мати доглядача за домашніми тваринами.
0,doing things that you know will bring harm to others.,"робити речі, які ви знаєте, принесуть шкоду іншим.","робити те, що, як ви знаєте, може завдати шкоди іншим.","вчинення дій, які, як ви знаєте, завдадуть шкоди іншим."
2,being upset with others and expressing it respectfully.,бути засмученим іншими та висловлювати це шанобливо.,засмучуватися на інших і висловлювати це з повагою.,бути засмученим через інших і виражати це з повагою.
0,Being dishonest about wanting to be alone,Бути нечесним щодо бажання бути наодинці.,Бути нечесним у бажанні побути на самоті,Брехати про бажання побути на самоті
0,punching others.,бити інших.,бити інших.,бити інших.
0,turning your back on your children.,повернувшись спиною до своїх дітей.,повернувшись спиною до своїх дітей.,відвернутися від своїх дітей.
1,being exhausted when you've been really busy.,"бути виснаженим, коли ви дійсно зайняті.","бути виснаженим, коли ти був дуже зайнятий.","бути виснаженим, коли ти був дуже зайнятим."
0,telling your girlfriend she doesn't look good.,"Розповідаючи своїй дівчині, що вона не виглядає добре.","сказати своїй дівчині, що вона погано виглядає.","казати своїй дівчині, що вона погано виглядає."
1,wanting to hold onto things.,бажаючи триматися за речі.,бажання втримати речі.,бажання тримати речі при собі.
0,telling your partner to seek professional help every time they are upset.,"розповідаючи своєму партнеру шукати професійну допомогу кожного разу, коли вони засмучені.","говорити партнеру, щоб він звертався за професійною допомогою щоразу, коли він засмучений.","казати своєму партнеру звернутися за професійною допомогою щоразу, коли вони засмучені."
0,feeling lazy for taking off work when you're sick.,"відчуваєте лінь, щоб відмовитися від роботи, коли ви хворі.","відчуття лінощів через те, що ти хворієш і не ходиш на роботу.","Відчуття провини за відпрошування з роботи, коли ти хворієш."
1,feeling lonely.,відчуття самотності.,відчуваючи себе самотнім.,відчуваю самотність.
0,touching someone that is injured.,"торкаючись людини, яка постраждала.","торкатися когось, хто поранений.","торкатися людини, яка травмована."
1,eating food when you're hungry.,"Їжте їжу, коли ви голодні.","їсти їжу, коли ти голодний.","їсти, коли голодний."
0,doing awful things to your ex.,робити жахливі речі зі своїм колишнім.,робити жахливі речі зі своїм колишнім.,робити жахливі речі своєму колишньому партнеру.
2,seeking help when needed.,"звертатися за допомогою, коли це необхідно.","звертаються за допомогою, коли це необхідно.","звертатися за допомогою, коли це потрібно."
0,commenting on someone's place of birth negatively.,негативно коментувати місце народження когось.,негативно коментувати чиєсь місце народження.,негативні коментарі про чиєсь місце народження.
1,being careful not to drop your things.,"бути обережним, щоб не втратити свої речі.","бути обережним, щоб не впустити свої речі.",будучи обережним щоб не впустити свої речі.
1,being rational about your future when you consider marrying someone,"бути раціональним щодо свого майбутнього, коли ви розглядаєте можливість одружитися з кимось.","раціонально підходити до свого майбутнього, коли ви плануєте одружитися з кимось","Бути раціональним щодо свого майбутнього, коли ви розглядаєте можливість одруження з кимось"
2,quitting unhealthy habits,відмова від шкідливих звичок.,відмова від шкідливих звичок,відмова від шкідливих звичок
2,being a responsible pet owner.,будучи відповідальним власником домашніх тварин.,бути відповідальним власником домашнього улюбленця.,бути відповідальним власником домашньої тварини.
2,moving on from breakups.,Переходячи від розривів.,переживати розставання.,як пережити розрив стосунків.
1,finding things that interest you.,"пошук речей, які вас цікавлять.","знаходити речі, які тебе цікавлять.","знаходження речей, які вас цікавлять."
1,taking a day to yourself.,приділити день собі.,взяти день для себе.,взяти день для себе.
0,making people feel insecure.,змушуючи людей відчувати себе невпевнено.,змушуючи людей відчувати себе невпевнено.,робити людей невпевненими у собі.
2,being supportive of your child's dreams.,підтримуючи мрії вашої дитини.,підтримувати мрії своєї дитини.,підтримувати мрії своєї дитини.
0,neglecting your significant other for selfish pursuits,нехтування вашою другою половинкою заради егоїстичних переслідувань.,нехтування своєю другою половинкою заради егоїстичних цілей,нехтування близькою людиною заради егоїстичних справ
2,being there for your friend when they are having problems,"бути поруч зі своїм другом, коли у нього виникають проблеми.","бути поруч з другом, коли у нього проблеми","бути поруч з другом, коли у нього проблеми"
0,interrupting someone's plans.,перериваючи чиїсь плани.,перериваючи чиїсь плани.,перешкоджання чиїмось планам.
2,telling a friend If you no longer plan to live with,"Розповідаючи другу, якщо ви більше не плануєте жити з","сказати другу, якщо ви більше не плануєте жити з ним","повідомлення друга, якщо ви більше не плануєте жити з"
0,disregarding someone's feelings.,нехтування чиїмись почуттями.,нехтуючи чиїмись почуттями.,нехтування почуттями когось.
1,being concerned about someone who is acting manic.,"турбуючись про когось, хто діє маніакально.","турбуватися про когось, хто поводиться маніакально.","турбуватися про когось, хто поводиться маніакально."
1,not being confrontational with customers.,не бути конфронтаційним з клієнтами.,не бути конфронтаційними з клієнтами.,не конфліктувати з клієнтами.
1,wanting to feel pleasure.,бажаючи відчути задоволення.,бажаючи відчути задоволення.,бажаючи відчути задоволення.
0,Interfering with someone else's source of income.,Втручання в чуже джерело доходу.,Втручання в чуже джерело доходу.,Втручання у чиєсь джерело доходу.
0,acting passive-aggressively with a neighbor,діє пасивно-агресивно з сусідом.,пасивно-агресивна поведінка з сусідом,поводитись пасивно-агресивно з сусідом
1,finding ways to feel better about yourself.,"пошук шляхів, щоб почуватися краще про себе.",пошук способів відчути себе краще.,знаходження способів відчувати себе краще.
2,adopting children.,усиновлення дітей.,всиновлення дітей.,усиновлення дітей.
2,showing someone that you care.,"показуючи комусь, що ви дбаєте.","показуючи комусь, що тобі не байдуже.","показати комусь, що тобі не байдуже."
0,expecting people to always care about things.,"очікуємо, що люди завжди піклуються про речі.","очікування, що люди завжди будуть піклуватися про речі.","очікувати, що люди завжди перейматимуться різними справами."
1,Moving back home in order to escape a bad living situation.,"Повернення додому, щоб уникнути поганої життєвої ситуації.","Повернення додому, щоб уникнути поганої життєвої ситуації.","Повернення додому, щоб вийти зі складної життєвої ситуації."
1,taking your medication as prescribed,приймати ліки за призначенням.,приймати ліки за призначенням лікаря,прийом ліків за призначенням
0,assaulting your family members.,напасти на членів вашої сім'ї.,напад на членів вашої родини.,напад на членів вашої родини.
1,Distancing yourself from someone who you do not share values with.,"Віддаляйтеся від людини, з якою ви не поділяєте цінностей.","Дистанціюватися від того, з ким ви не поділяєте спільних цінностей.","Дистанціювання від людини, з якою ви не поділяєте спільних цінностей."
2,Taking responsibility if someone gives you a pet.,"Взяти на себе відповідальність, якщо хтось дає вам домашнього улюбленця.","Брати на себе відповідальність, якщо хтось дарує тобі домашнього улюбленця.","Взяття відповідальності, якщо хтось дарує вам домашню тварину."
